year,BUYER_COUNTY,BUYER_STATE,opioid_converted_grams,FIPS,population
2006.0,BUENAVISTA,IA,955.5377740875,19021,19604.0
2006.0,BUENAVISTACITY,VA,1468.283005,51530,6345.0
2006.0,BUFFALO,NE,4137.605540225,31019,44490.0
2006.0,BUFFALO,WI,384.3942,55011,13786.0
2006.0,BULLITT,KY,13604.8103,21029,72398.0
2006.0,BULLOCH,GA,9142.968817500001,13031,64860.0
2006.0,BULLOCK,AL,549.3548185,01011,10739.0
2006.0,BUNCOMBE,NC,77783.9555023875,37021,223012.0
2006.0,BUREAU,IL,3118.1919705,17011,34914.0
2006.0,BURKE,GA,2119.854585,13033,22731.0
2006.0,BURKE,NC,43482.405598000005,37023,88704.0
2006.0,BURLEIGH,ND,16965.6362994375,38015,75673.0
2006.0,BURLESON,TX,1435.590375,48051,16624.0
2006.0,BURLINGTON,NJ,157539.826078275,34005,447131.0
2006.0,BURNET,TX,9118.9513775,48053,42544.0
2006.0,BURNETT,WI,2558.8292565,55013,16230.0
2006.0,BURT,NE,527.1427875,31021,7115.0
2006.0,BUTLER,AL,3828.9245140875,01013,20231.0
2006.0,BUTLER,IA,878.6310188625,19023,14632.0
2006.0,BUTLER,KS,18619.6578125,20015,62390.0
2006.0,BUTLER,KY,5171.1037875,21031,13402.0
2006.0,BUTLER,MO,26092.6823458125,29023,41371.0
2006.0,BUTLER,NE,319.97538000000003,31023,8408.0
2006.0,BUTLER,OH,152586.6628579875,39017,353888.0
2006.0,BUTLER,PA,37518.564537712504,42019,181676.0
2006.0,BUTTE,CA,152637.30566161248,06007,216933.0
2006.0,BUTTE,ID,777.542775,16023,2735.0
2006.0,BUTTE,SD,544.7367788625,46019,9237.0
2006.0,BUTTS,GA,10585.2458685,13035,23101.0
2006.0,CABARRUS,NC,50710.88588745,37025,155159.0
2006.0,CABELL,WV,78309.7869593125,54011,94322.0
2006.0,CABOROJO,PR,535.8100000000001,72023,
2006.0,CACHE,UT,26472.4739,49005,106399.0
2006.0,CADDO,LA,80205.9329364875,22017,253344.0
2006.0,CADDO,OK,8648.296682725,40015,29637.0
2006.0,CAGUAS,PR,14356.7956595,72025,
2006.0,CALAVERAS,CA,19790.602263,06009,46524.0
2006.0,CALCASIEU,LA,56335.230528625005,22019,182944.0
2006.0,CALDWELL,KY,5663.4542125,21033,12769.0
2006.0,CALDWELL,LA,3402.569735225,22021,10376.0
2006.0,CALDWELL,MO,395.099775,29025,9209.0
2006.0,CALDWELL,NC,33116.617452175,37027,79042.0
2006.0,CALDWELL,TX,2210.5024475,48055,36286.0
2006.0,CALEDONIA,VT,6794.531655,50005,30543.0
2006.0,CALHOUN,AL,45576.3759919875,01015,112453.0
2006.0,CALHOUN,AR,1009.9854885,05013,5526.0
2006.0,CALHOUN,FL,1851.905823,12013,13394.0
2006.0,CALHOUN,GA,335.791116,13037,6086.0
2006.0,CALHOUN,IA,852.247074,19025,10101.0
2006.0,CALHOUN,IL,1091.5374375000001,17013,5121.0
2006.0,CALHOUN,MI,46647.684749500004,26025,137445.0
2006.0,CALHOUN,MS,2408.1132374999997,28013,14616.0
2006.0,CALHOUN,SC,3143.7183525,45017,14817.0
2006.0,CALHOUN,TX,4759.772885,48057,20319.0
2006.0,CALHOUN,WV,538.5967875,54013,7221.0
2006.0,CALLAHAN,TX,661.4437125,48059,13215.0
2006.0,CALLAWAY,MO,6261.331308000001,29027,42933.0
2006.0,CALLOWAY,KY,10156.471833125,21035,35988.0
2006.0,CALUMET,WI,1665.331335,55015,44280.0
2006.0,CALVERT,MD,27466.673385362497,24009,87608.0
2006.0,CAMBRIA,PA,89626.39716000001,42021,145822.0
2006.0,CAMDEN,GA,23295.8201863125,13039,45601.0
2006.0,CAMDEN,MO,12899.7737863125,29029,39863.0
2006.0,CAMDEN,NJ,292399.5242582,34007,516547.0
2006.0,CAMERON,PA,2376.5079960000003,42023,5405.0
2006.0,CAMERON,TX,18505.664514225,48061,376882.0
2006.0,CAMP,TX,1498.388685,48063,12288.0
2006.0,CAMPBELL,KY,32960.6115434,21037,87133.0
2006.0,CAMPBELL,TN,32989.2042809,47013,40505.0
2006.0,CAMPBELL,VA,3953.6648354999998,51031,52411.0
2006.0,CAMPBELL,WY,8865.3236683875,56005,38487.0
2006.0,CAMUY,PR,231.97125000000003,72027,
2006.0,CANADIAN,OK,37023.370533725,40017,100421.0
2006.0,CANDLER,GA,2381.031708,13043,10246.0
2006.0,CANNON,TN,5599.4184075,47015,13266.0
2006.0,CANOVANAS,PR,701.484225,72029,
2006.0,CANYON,ID,25937.0848225875,16027,171335.0
2006.0,CAPEGIRARDEAU,MO,22528.7341098125,29031,72149.0
2006.0,CAPEMAY,NJ,34785.170946725004,34009,97814.0
2006.0,CARBON,MT,966.7930680000001,30009,9721.0
2006.0,CARBON,PA,22239.5907443625,42025,62098.0
2006.0,CARBON,UT,23097.95035,49007,19242.0
2006.0,CARBON,WY,3791.1085650375,56007,15042.0
2006.0,CARIBOU,ID,1819.402536,16029,6873.0
2006.0,CARLISLE,KY,615.458115,21039,5255.0
2006.0,CARLTON,MN,7725.4810203875,27017,33688.0
2006.0,CAROLINA,PR,3778.700925,72031,
2006.0,CAROLINE,MD,8460.642751725001,24011,32423.0
2006.0,CAROLINE,VA,1688.33385,51033,26462.0
2006.0,CARROLL,AR,8417.327154862502,05015,27083.0
2006.0,CARROLL,GA,52836.8223227625,13045,108255.0
2006.0,CARROLL,IA,3014.4584100375,19027,20766.0
2006.0,CARROLL,IL,801.994725,17015,15972.0
2006.0,CARROLL,IN,1528.671673,18015,19916.0
2006.0,CARROLL,KY,3403.2233625,21041,10425.0
2006.0,CARROLL,MD,47272.608823400005,24013,168639.0
2006.0,CARROLL,MO,2031.687127725,29033,9929.0
2006.0,CARROLL,MS,171.8967,28015,10266.0
2006.0,CARROLL,NH,13531.7070334,33003,47457.0
2006.0,CARROLL,OH,3150.327447,39019,28888.0
2006.0,CARROLL,TN,14997.526263862499,47017,28775.0
2006.0,CARROLL,VA,3028.8821568625,51035,29221.0
2006.0,CARSON,TX,247.579725,48065,6323.0
2006.0,CARSONCITY,NV,27555.663566850002,32510,55121.0
2006.0,CARTER,KY,13577.3017413625,21043,27367.0
2006.0,CARTER,MO,1453.2740250000002,29035,5874.0
2006.0,CARTER,OK,17532.925709175,40019,46980.0
2006.0,CARTER,TN,22482.437746725,47019,58956.0
2006.0,CARTERET,NC,25314.553279525,37031,63269.0
2006.0,CARVER,MN,7911.231433500001,27019,86510.0
2006.0,CASCADE,MT,24848.776746,30013,81813.0
2006.0,CASEY,KY,1576.860625,21045,16224.0
2006.0,CASS,IA,1637.5002008625002,19029,13912.0
2006.0,CASS,IL,1438.2210300000002,17017,13529.0
2006.0,CASS,IN,4879.3626395,18017,39312.0
2006.0,CASS,MI,3712.514625,26027,50544.0
2006.0,CASS,MN,1995.6122055,27021,28722.0
2006.0,CASS,MO,21285.0070788125,29037,95379.0
2006.0,CASS,ND,15377.467808175,38017,135191.0
2006.0,CASS,NE,1615.0459725,31025,25462.0
2006.0,CASS,TX,7771.19977095,48067,29339.0
2006.0,CASSIA,ID,5475.19992,16031,20747.0
2006.0,CASTRO,TX,458.60955,48069,7275.0
2006.0,CASWELL,NC,2789.465598675,37033,23392.0
2006.0,CATAHOULA,LA,2622.8337748125005,22025,10402.0
2006.0,CATANO,PR,306.537825,72033,
2006.0,CATAWBA,NC,59359.6114579,37035,152949.0
2006.0,CATOOSA,GA,18045.5298588625,13047,60999.0
2006.0,CATTARAUGUS,NY,19354.001232,36009,80578.0
2006.0,CAVALIER,ND,233.3788875,38019,4009.0
2006.0,CAYEY,PR,1805.5380375,72035,
2006.0,CAYUGA,NY,12972.8006605,36011,80225.0
2006.0,CECIL,MD,55442.78907225,24015,98568.0
2006.0,CEDAR,IA,617.960118,19031,18000.0
2006.0,CEDAR,MO,4212.072744,29039,13897.0
2006.0,CEDAR,NE,336.7469625,31027,8697.0
2006.0,CEIBA,PR,141.50985,72037,
2006.0,CENTRE,PA,24015.64185195,42027,144037.0
2006.0,CERROGORDO,IA,10901.474903,19033,44048.0
2006.0,CHAFFEE,CO,6401.707879725001,08015,16626.0
2006.0,CHAMBERS,AL,13604.6055375,01017,34822.0
2006.0,CHAMBERS,TX,1176.019215,48071,28342.0
2006.0,CHAMPAIGN,IL,18152.77908,17019,190599.0
2006.0,CHAMPAIGN,OH,7738.0529187625,39021,39531.0
2006.0,CHARITON,MO,675.8862,29041,7885.0
2006.0,CHARLES,MD,40350.278668625004,24017,139383.0
2006.0,CHARLESMIX,SD,851.9906565,46023,9046.0
2006.0,CHARLESTON,SC,160034.4803362125,45019,341425.0
2006.0,CHARLEVOIX,MI,7857.485787,26029,26146.0
2006.0,CHARLOTTE,FL,82123.5971579375,12015,154885.0
2006.0,CHARLOTTE,VA,1849.4083245,51037,12349.0
2006.0,CHARLOTTESVILLECITY,VA,8823.3614153625,51540,41039.0
2006.0,CHARLTON,GA,1999.95525285,13049,10767.0
2006.0,CHASE,NE,640.32759,31029,3768.0
2006.0,CHATHAM,GA,51483.071977412,13051,243761.0
2006.0,CHATHAM,NC,8251.7951355,37037,59836.0
2006.0,CHATTOOGA,GA,7965.2576811750005,13055,26168.0
2006.0,CHAUTAUQUA,KS,559.805352,20019,3850.0
2006.0,CHAUTAUQUA,NY,36511.6455800375,36013,134279.0
2006.0,CHAVES,NM,14872.4768625,35005,61456.0
2006.0,CHEATHAM,TN,8872.522452500001,47021,38615.0
